Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Sri Vengamamba Bus Transport (SVBT),A/C Seater / Sleeper (2+1),21:40,06:15,08h 35m,INR 700,5 Seats available,"4.4
293",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
V Kaveri Travels,Scania AC Multi Axle Sleeper (2+1),21:00,05:45,08h 45m,INR 1100,10 Seats available,"4.3
257",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Kaveri Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),20:50,05:45,08h 55m,INR 850,10 Seats available,"4.2
151",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Sri Sahasra Tours and Travels,A/C Seater / Sleeper (2+1),20:45,05:30,08h 45m,INR 890,8 Seats available,"4.0
75",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Kamakshi Tours And Travels,Non A/C Seater / Sleeper (2+1),20:45,06:00,09h 15m,INR 450,6 Seats available,"4.2
220",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
V Kaveri Travels,A/C Sleeper (2+1),21:30,06:15,08h 45m,INR 900,7 Seats available,"4.2
76",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
IntrCity SmartBus,A/C Seater / Sleeper (2+1),20:15,05:15,09h 00m,INR 1045,13 Seats available,"4.4
5",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Mozo travels,A/C Sleeper (2+1),20:35,04:50,08h 15m,INR 1170,16 Seats available,"4.0
15",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
LUCKY TRAVELS,A/C Sleeper (2+1),22:30,06:05,07h 35m,INR 999,5 Seats available,"4.0
18",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
VV Vinayak Travels,Non A/C Seater / Sleeper (2+1),21:10,06:00,08h 50m,INR 470,9 Seats available,"3.6
205",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
