Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Assam State Transport Corporation (ASTC) - 147480,Bharat Benz A/C Seater (2+2),05:00,09:00,04h 00m,INR 270,8 Seats available,"3.6
332",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 135927,Volvo AC Seater 2+2,07:10,11:40,04h 30m,INR 298,28 Seats available,"4.3
333",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 156885,Bharat Benz A/C Seater (2+2),07:35,12:00,04h 25m,INR 298,35 Seats available,"4.5
18",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 173420,Bharat Benz A/C Seater (2+2),10:35,15:15,04h 40m,INR 298,25 Seats available,"3.6
59",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 157959,Bharat Benz A/C Seater (2+2),14:00,18:30,04h 30m,INR 298,35 Seats available,"4.2
212",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 168821,Bharat Benz A/C Seater (2+2),15:45,20:30,04h 45m,INR 298,35 Seats available,"4.4
39",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 161055,Volvo AC Seater 2+2,16:15,20:30,04h 15m,INR 298,26 Seats available,"4.5
92",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
NEELKANTH TRAVELS,A/C Seater Push Back (2+2),05:15,08:30,03h 15m,INR 300,32 Seats available,"4.4
149",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
MAA Anada (UNDER ASTC),AC Seater (2+2),05:20,08:30,03h 10m,INR 304.2,40 Seats available,"3.4
46",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Kanchan Travels,AC Seater (2+2),05:30,08:45,03h 15m,346,28 Seats available,"4.3
48",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
AdKalpana Travels,AC Seater (2+2),08:50,12:30,03h 40m,342,39 Seats available,"4.4
31",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Mahi Travels(Under ASTC),A/C Seater (2+2),05:40,08:55,03h 15m,349,19 Seats available,"4.4
368",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
WARISPIYA TRAVELS,AC Seater (2+2),05:45,09:00,03h 15m,INR 360,31 Seats available,"4.3
281",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Orient Transline,A/C Seater (2+1),05:55,09:00,03h 05m,INR 342.86,35 Seats available,"4.3
67",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
SHIVAM TRAVELS,Bharat Benz A/C Seater (2+1),15:00,19:15,04h 15m,315,36 Seats available,"4.1
204",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Mahi Travels(Under ASTC),Bharat Benz A/C Seater (2+2),06:15,09:50,03h 35m,349,35 Seats available,"4.0
81",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
WARISPIYA TRAVELS,Bharat Benz A/C Seater (2+2),06:30,10:25,03h 55m,INR 360,28 Seats available,"4.3
376",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Orient Transline,A/C Seater (2+1),13:00,17:00,04h 00m,INR 380.95,19 Seats available,"3.5
10",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Orient Transline,A/C Seater (2+1),13:00,17:10,04h 10m,INR 380.95,20 Seats available,"4.2
170",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Mahi Travels(Under ASTC),A/C Seater (2+2),14:15,17:50,03h 35m,389,33 Seats available,"4.5
142",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
AdKalpana Travels,AC Seater (2+2),16:50,20:15,03h 25m,342,30 Seats available,"4.7
48",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
WARISPIYA TRAVELS,AC Seater (2+2),15:00,18:40,03h 40m,INR 360,19 Seats available,"4.4
385",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
WARISPIYA TRAVELS,AC Seater (2+2),15:35,19:15,03h 40m,INR 360,20 Seats available,"4.0
311",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
